SFPUC Code,Facility,Notes,Dpt.,General Building Category,Facility Type,ENERGY STAR Bldg Type,Year Built,Year Renov.,2013 Building Area (sq. ft.),2013 Site EUI (kBtu/sq.ft.),2013 ENERGY STAR rating
1116,School of the Arts / Academy of Arts and Sciences,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1970,,209500,55.1,
1394,Hilltop County Community High / Sunshine Building,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1937,,61442,55.1,
1099,George Washington High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1936,,228800,53,
1052,International Studies Academy at Enola Maxwell,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1971,,108400,48.6,
1056,SF International High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1980,,33100,45.3,
1051,Philip and Sala Burton High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1963,,230000,44.5,
1084,Gateway High / KIPP San Francisco Bay Academy,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1913,,143237,42,N/A
1064,John O'Connell High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1999,,130091,40.1,
1078,Galileo High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1924,,242400,39.2,
1798,Independence High (Old Laguna Honda),"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1908,,30114,37.2,
1814,Downtown High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1936,,58760,36.9,
1033,Thurgood Marshall High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1957,,149796,34.9,
1044,Mission High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1922,,225000,32.7,
1021,June Jordan High / City Arts and Tech High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1957,,151600,32.6,
1059,Abraham Lincoln High,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1940,,330200,31.6,N/A
1017,Balboa High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1928,,261700,30.5,
1002,Lowell High,"High schools that appear to be eligible for the ENERGY STAR rating are indicated with green dots, and ENERGY STAR quartile results for high schools are included in the overall totals shown on page 14 of this report. However, the 1-100 scores for individual high schools are not listed due to unexpectedly positive scores. More detailed site surveys, as well as a more detailed assessment of the ENERGY STAR ratings for high schools in San Francisco’s climate may be warranted.",SFUSD,Education,K-12 School,K-12 School,1962,,245000,30.2,
1035,Mission Education Center Elementary,,SFUSD,Education,K-12 School,K-12 School,1911,,27000,113.1,12
1025,El Dorado Elementary,,SFUSD,Education,K-12 School,K-12 School,1953,,30300,99.3,8
1392,Claire Lilienthal (K-2 Madison Campus),,SFUSD,Education,K-12 School,K-12 School,1910,,20855,76,29
1012,Visitacion Valley Middle,,SFUSD,Education,K-12 School,K-12 School,1971,,113600,75.8,4
1003,Jose Ortega Elementary,,SFUSD,Education,K-12 School,K-12 School,1953,,35180,69.6,33
1107,Sunset Elementary,,SFUSD,Education,K-12 School,K-12 School,1951,,40150,69.5,31
1106,Robert Louis Stevenson Elementary,,SFUSD,Education,K-12 School,K-12 School,1953,,47500,64.3,59
1096,George Peabody Elementary,,SFUSD,Education,K-12 School,K-12 School,1976,,16229,61.7,28
1046,Paul Revere Elementary,,SFUSD,Education,K-12 School,K-12 School,1928,1968,56400,57.3,34
1027,Dr George Washington Carver Elementary,,SFUSD,Education,K-12 School,K-12 School,1974,,45500,54.5,26
1071,Redding Elementary,,SFUSD,Education,K-12 School,K-12 School,1917,,26100,51.9,75
1008,Sunnyside Elementary,,SFUSD,Education,K-12 School,K-12 School,1927,,30900,51.8,80
1109,Ulloa Elementary,,SFUSD,Education,K-12 School,K-12 School,1952,,53000,51.7,70
1038,Buena Vista / Horace Mann,,SFUSD,Education,K-12 School,K-12 School,1924,,68000,50.3,84
1024,Hillcrest Elementary,,SFUSD,Education,K-12 School,K-12 School,1951,,60280,49.9,43
1028,Malcolm X Elementary,,SFUSD,Education,K-12 School,K-12 School,1957,,50800,49.6,64
1264,Rooftop Alternative (5-8 Mayeda Campus),,SFUSD,Education,K-12 School,K-12 School,1997,,21000,49.1,26
1101,Alamo Elementary,,SFUSD,Education,K-12 School,K-12 School,1924,,50420,47.4,34
1118,Clarendon Elementary,,SFUSD,Education,K-12 School,K-12 School,1962,,39500,47.1,80
1082,Claire Lilienthal (3-8 Winfield Scott Campus),,SFUSD,Education,K-12 School,K-12 School,1930,,34000,47,71
1100,Presidio Middle,,SFUSD,Education,K-12 School,K-12 School,1930,,140000,46.6,71
1067,Civic Center Secondary at John Swett Campus,,SFUSD,Education,K-12 School,K-12 School,1912,,29060,46.2,34
1089,New Traditions Elementary,,SFUSD,Education,K-12 School,K-12 School,1924,,26300,45.9,95
1377,George Moscone Elementary,,SFUSD,Education,K-12 School,K-12 School,1997,,45108,45,35
1105,A P Giannini Middle,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1954,,136392,44.6,N/A
2040,Gateway Middle,,SFUSD,Education,K-12 School,K-12 School,1908,,31121,43.9,77
1005,Longfellow Elementary,,SFUSD,Education,K-12 School,K-12 School,1960,,40500,43.3,75
1110,Jefferson Elementary,,SFUSD,Education,K-12 School,K-12 School,1923,,42434,43.2,61
1086,Dr William Cobb Elementary,,SFUSD,Education,K-12 School,K-12 School,1923,,36246,42.6,62
1111,Lawton Elementary,,SFUSD,Education,K-12 School,K-12 School,1934,,64940,42.2,74
1068,John Muir Elementary,,SFUSD,Education,K-12 School,K-12 School,1928,,53500,42.1,75
1040,Harvey Milk Civil Rights Academy,,SFUSD,Education,K-12 School,K-12 School,1952,,30560,40.9,78
1055,Bryant Elementary and CDC,,SFUSD,Education,K-12 School,K-12 School,1969,,32500,40.5,54
1045,Leonard R Flynn Elementary,,SFUSD,Education,K-12 School,K-12 School,1926,,52700,40.3,77
1061,Bessie Carmichael Elementary,,SFUSD,Education,K-12 School,K-12 School,2000,,56358,40.2,44
1050,E R Taylor Elementary,,SFUSD,Education,K-12 School,K-12 School,1923,,56113,40.1,80
1083,Rosa Parks Elementary / Raphael Weill CDC,,SFUSD,Education,K-12 School,K-12 School,1927,1964,66900,39.6,75
1042,Everett Middle,,SFUSD,Education,K-12 School,K-12 School,1926,,155370,39.6,57
1351,Argonne Elementary,,SFUSD,Education,K-12 School,K-12 School,1997,,52000,39.5,74
1094,Sutro Elementary,,SFUSD,Education,K-12 School,K-12 School,1976,,32860,39.3,64
1004,Sheridan Elementary,,SFUSD,Education,K-12 School,K-12 School,1975,,46335,39.2,74
1114,Alice Fong Yu Elementary,,SFUSD,Education,K-12 School,K-12 School,1914,,59650,38.8,94
1120,Marina Middle,,SFUSD,Education,K-12 School,K-12 School,1936,,152900,38.7,66
1036,James Lick Middle,,SFUSD,Education,K-12 School,K-12 School,1932,,116000,37.9,78
1010,Commodore Sloat Elementary,,SFUSD,Education,K-12 School,K-12 School,1977,,59200,37.8,73
1097,Roosevelt Middle,,SFUSD,Education,K-12 School,K-12 School,1930,,121000,37.4,65
1075,Chinese Education Center,,SFUSD,Education,K-12 School,K-12 School,1976,,10580,37.1,95
1041,Alvarado Elementary,,SFUSD,Education,K-12 School,K-12 School,1926,,51700,37.1,96
1081,John Yehall Chin Elementary,,SFUSD,Education,K-12 School,K-12 School,1914,,23100,37,76
1020,Cleveland Elementary,,SFUSD,Education,K-12 School,K-12 School,1911,,34000,36.5,79
1022,Monroe Elementary,,SFUSD,Education,K-12 School,K-12 School,1977,,53400,36.5,67
1123,Dr Martin Luther King Middle,,SFUSD,Education,K-12 School,K-12 School,1940,,72210,36.3,65
1115,Herbert Hoover Middle,,SFUSD,Education,K-12 School,K-12 School,1956,,132400,35.9,70
1030,Dr Charles R Drew Elementary,,SFUSD,Education,K-12 School,K-12 School,1971,,55234,35.2,72
1384,Tenderloin Elementary,,SFUSD,Education,K-12 School,K-12 School,1998,,61569,34.6,60
1011,Glen Park Elementary,,SFUSD,Education,K-12 School,K-12 School,1936,,45200,34.3,93
1130,Starr King Elementary,,SFUSD,Education,K-12 School,K-12 School,1955,,49900,34.1,90
1016,James Denman Middle / Leadership High,,SFUSD,Education,K-12 School,K-12 School,1940,,150900,33.8,55
1121,Lakeshore Elementary,,SFUSD,Education,K-12 School,K-12 School,1954,,56101,33.3,85
1117,Rooftop Alternative (K-4 Burnett Campus),,SFUSD,Education,K-12 School,K-12 School,1952,,23300,33.3,93
1009,Aptos Middle,,SFUSD,Education,K-12 School,K-12 School,1931,,168000,33.2,71
1029,Bret Harte Elementary,,SFUSD,Education,K-12 School,K-12 School,1954,,79000,32.7,84
1043,Sanchez Elementary,,SFUSD,Education,K-12 School,K-12 School,1927,,50500,32.5,90
1060,Bessie Carmichael / Filipino Education Ctr (6-8),,SFUSD,Education,K-12 School,K-12 School,1975,,13654,32.3,85
1125,Chinese Immersion Elementary at DeAvila,,SFUSD,Education,K-12 School,K-12 School,1926,,58582,32.1,91
1057,Cesar Chavez Elementary,,SFUSD,Education,K-12 School,K-12 School,1926,,49100,32.1,88
1053,Daniel Webster Elementary,,SFUSD,Education,K-12 School,K-12 School,1924,,42800,32.1,28
1069,Creative Arts Charter,,SFUSD,Education,K-12 School,K-12 School,1962,,33117,31.3,94
1080,Garfield Elementary,,SFUSD,Education,K-12 School,K-12 School,1979,,33800,31.3,61
1072,Spring Valley Elementary,,SFUSD,Education,K-12 School,K-12 School,1912,,50400,31.1,94
428,SFUSD -- 940 Filbert St (Yick Wo Elementary),"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1900,1925,37500,30.7,N/A
1241,Jean Parker Elementary,,SFUSD,Education,K-12 School,K-12 School,1996,,46000,30.3,89
1129,Miraloma Elementary,,SFUSD,Education,K-12 School,K-12 School,1952,,51900,30.2,94
1013,Visitacion Valley Elementary,,SFUSD,Education,K-12 School,K-12 School,1936,,51400,29.9,97
1023,SF Community School,,SFUSD,Education,K-12 School,K-12 School,1911,,66900,29.6,96
1079,Francisco Middle,,SFUSD,Education,K-12 School,K-12 School,1926,,104897,29.2,81
1006,West Portal Elementary,,SFUSD,Education,K-12 School,K-12 School,1927,,44700,29,84
125,SF Public Montessori Elementary,,SFUSD,Education,K-12 School,K-12 School,1924,,64500,28.8,96
1077,Sherman Elementary,,SFUSD,Education,K-12 School,K-12 School,1928,,56200,28.5,95
1039,Edison Charter Academy Elementary,,SFUSD,Education,K-12 School,K-12 School,1927,,59200,27.5,90
1091,Grattan Elementary,,SFUSD,Education,K-12 School,K-12 School,1971,,55420,27.5,96
1112,Dianne Feinstein Elementary,,SFUSD,Education,K-12 School,K-12 School,2003,,62087,26.4,92
1062,Marshall Elementary,,SFUSD,Education,K-12 School,K-12 School,1977,,34300,24.5,87
1095,Frank McCoppin Elementary,,SFUSD,Education,K-12 School,K-12 School,1976,,32700,24.3,77
1034,Fairmount Elementary,,SFUSD,Education,K-12 School,K-12 School,1976,,60960,22.3,96
1049,Junipero Serra Elementary,,SFUSD,Education,K-12 School,K-12 School,1977,,34200,21.7,90
1128,Yick Wo Elementary (under modernization),This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFUSD,Education,K-12 School,K-12 School,1983,,26000,20.7,N/A
2017,Gordon J Lau Elementary,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1914,1956,63800,19.2,N/A
1092,McKinley Elementary,,SFUSD,Education,K-12 School,K-12 School,1977,,45160,19.1,95
1015,Guadalupe Elementary,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFUSD,Education,K-12 School,K-12 School,1922,,40777,17.7,N/A
254,Ocean View Branch Library,,SFPL,Libraries,library,Other,2000,,4794,157.5,N/A
241,Chinatown Him Mark Lai Branch Library,,SFPL,Libraries,library,Other,1921,1996,17858,111.8,N/A
265,Western Addition Branch Library,,SFPL,Libraries,library,Other,1966,2008,8000,89.2,N/A
264,West Portal Branch Library,,SFPL,Libraries,library,Other,1939,2007,8010,77,N/A
45,Fire Station 38,,SFFD,Public Safety,fire station,Other,1960,,13400,78.7,N/A
261,Richmond/Milton Marks Branch Library,,SFPL,Libraries,library,Other,1914,2009,13900,74.6,N/A
248,Main Library,,SFPL,Libraries,library,Other,1996,,376000,73.6,N/A
249,Marina Branch Library,,SFPL,Libraries,library,Other,1954,2007,7633,64.7,N/A
260,Presidio Branch Library,,SFPL,Libraries,library,Other,1921,2011,10205,64.6,N/A
238,Bayview/Anna E. Waden Branch Library,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFPL,Libraries,library,Other,2012,,9527,64.4,N/A
256,Park Branch Library,,SFPL,Libraries,library,Other,1909,2011,8060,62.7,N/A
259,Potrero Branch Library,,SFPL,Libraries,library,Other,1951,2010,5428,62.3,N/A
255,Ortega Branch Library,,SFPL,Libraries,library,Other,2011,,9300,60.1,N/A
252,Noe Valley/Sally Brunn Branch Library,,SFPL,Libraries,library,Other,1916,2008,6096,58.7,N/A
1928,Ingleside Branch Library,,SFPL,Libraries,library,Other,2009,,6100,58.2,N/A
1915,Portola Branch Library,,SFPL,Libraries,library,Other,2009,,6427,58.1,N/A
251,Mission Branch Library,,SFPL,Libraries,library,Other,1916,1999,10479,56.6,N/A
262,Sunset Branch Library,,SFPL,Libraries,library,Other,1918,2007,9434,54.6,N/A
239,Anza Branch Library,,SFPL,Libraries,library,Other,1932,2011,8222,52.8,N/A
1825,Bernal Heights Branch Library,,SFPL,Libraries,library,Other,1940,2010,8777,52.2,N/A
263,Visitacion Valley Branch Library,,SFPL,Libraries,library,Other,2011,,9945,52.1,N/A
250,Merced Branch Library,,SFPL,Libraries,library,Other,1958,2011,5832,47.5,N/A
257,Parkside Branch Library,,SFPL,Libraries,library,Other,1951,2010,6822,41.9,N/A
243,Excelsior Branch Library,,SFPL,Libraries,library,Other,1967,2005,8322,40.6,N/A
253,North Beach Branch Library (Old Location),,SFPL,Libraries,library,Other,1959,,8455,40.4,N/A
244,Glen Park Branch Library,,SFPL,Libraries,library,Other,2007,,7185,39.9,N/A
242,Eureka Valley/Harvey Milk Branch Library,,SFPL,Libraries,library,Other,1961,2009,6465,35.6,N/A
245,Golden Gate Valley Branch Library,,SFPL,Libraries,library,Other,1917,2011,7432,33.3,N/A
784,Multi-Service Center South,,HSA,Health & Human Services,homeless service,Other,1924,,25600,278,N/A
785,Multi-Service Center North,,HSA,Health & Human Services,homeless service,Other,1913,,37125,177.3,N/A
1810,Mission Neighborhood Resource Center,,HSA,Health & Human Services,homeless service,Other,1922,,6500,135.9,N/A
57,Hamilton Family Shelter,,HSA,Health & Human Services,homeless service,Other,1966,,50000,80.6,N/A
184,Ocean Park Health Center (Health Center #5),,DPH,Health & Human Services,medical clinic,Other,1967,2009,16247,169.9,N/A
186,San Francisco City Clinic,,DPH,Health & Human Services,medical clinic,Other,1930,,8000,148.9,N/A
175,Southeast Health Center,,DPH,Health & Human Services,medical clinic,Other,1979,2012,14604,140.4,N/A
178,Castro Mission Health Center (Health Center #1),,DPH,Health & Human Services,medical clinic,Other,1965,2008,15258,112.2,N/A
179,Silver Avenue Health Center (Health Center #3),,DPH,Health & Human Services,medical clinic,Other,1967,2005,22950,96.4,N/A
180,Chinatown Public Health Center (Health Center #4),,DPH,Health & Human Services,medical clinic,Other,1967,2010,22500,94.5,N/A
185,Maxine Hall Health Center (Health Center #2),,DPH,Health & Human Services,medical clinic,Other,1966,2006,20590,93.5,N/A
181,Curry Senior Service Center,,DPH,Health & Human Services,medical clinic,Other,1930,2006,11195,88.7,N/A
757,Potrero Hill Health Center,,DPH,Health & Human Services,medical clinic,Other,1976,2012,8000,69.7,N/A
183,Sunset Mental Health Services,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,DPH,Health & Human Services,mental health center,Medical Office,1949,1972,5500,63.1,55
200,S Van Ness Mental Health / Mission Family Center,,DPH,Health & Human Services,mental health center,Medical Office,1958,,14700,48.9,62
1285,South of Market Mental Health Services,,DPH,Health & Human Services,mental health center,Medical Office,1956,1998,13000,47.9,53
1809,SE Child/Family Therapy Center,"Not qualified for ENERGY STAR rating, due to small size.",DPH,Health & Human Services,mental health center,Medical Office,1939,1998,3000,32.1,N.Q.
